,tweet_id,favorite_count,retweet_count
1991-02-08 13:48:08.022790149,666020888022790144,2527,518
1991-02-08 16:08:05.002620928,666029285002620928,130,47
1991-02-08 17:16:52.701032449,666033412701032448,126,46
1991-02-08 20:17:06.329800704,666044226329800704,304,143
1991-02-08 21:40:48.165822465,666049248165822464,108,40
1991-02-08 22:05:58.794694657,666050758794694656,134,59
1991-02-08 22:24:13.826850816,666051853826850816,1239,865
1991-02-08 23:25:25.042405380,666055525042405376,444,258
1991-02-08 23:51:30.499244032,666057090499244032,302,143
1991-02-09 00:16:40.524156928,666058600524156928,114,58
1991-02-09 01:43:47.256086533,666063827256086528,486,225
1991-02-09 03:46:33.221509120,666071193221509120,152,64
1991-02-09 04:18:20.786774016,666073100786774016,327,172
1991-02-09 07:01:56.733198337,666082916733198336,120,45
1991-02-09 10:06:40.022159362,666094000022159360,166,76
1991-02-09 11:38:33.787052032,666099513787052032,159,71
1991-02-09 12:22:35.909144576,666102155909144576,80,13
1991-02-09 12:55:33.288665088,666104133288665088,14543,6749
1991-02-11 10:41:50.803644416,666268910803644416,104,36
1991-02-11 11:51:37.616637952,666273097616637952,179,79
1991-02-11 15:50:06.224695296,666287406224695296,151,68
1991-02-11 17:38:31.632134144,666293911632134144,513,363
1991-02-12 05:51:22.303524864,666337882303524864,201,95
1991-02-12 07:56:57.576210432,666345417576210432,305,143
1991-02-12 10:08:08.456101888,666353288456101888,227,74
1991-02-12 12:45:58.909284353,666362758909284352,788,581
1991-02-12 15:49:13.744588802,666373753744588800,193,95
1991-02-12 22:04:07.373291520,666396247373291520,170,88
1991-02-13 01:05:26.856765440,666407126856765440,112,42
1991-02-13 02:18:27.551481857,666411507551481856,454,334
1991-02-13 04:19:49.513326592,666418789513326592,127,47
1991-02-13 04:59:18.376562688,666421158376562688,320,116
1991-02-13 06:57:56.349472768,666428276349472768,168,86
1991-02-13 07:38:44.426358785,666430724426358784,322,201
1991-02-13 09:00:52.385423360,666435652385423360,167,54
1991-02-13 09:27:53.139982337,666437273139982336,130,50
1991-02-13 12:15:44.410484738,666447344410484736,105,22
1991-02-13 14:18:34.377183233,666454714377183232,535,216
1991-02-15 19:07:03.164719104,666644823164719104,236,86
1991-02-15 20:24:42.315059201,666649482315059200,905,598
1991-02-16 08:03:38.707132416,666691418707132416,190,50
1991-02-16 10:46:08.228331520,666701168228331520,443,226
1991-02-16 21:22:07.293083650,666739327293083648,241,68
1991-02-17 07:48:28.487630848,666776908487630848,361,180
1991-02-17 09:09:52.255496192,666781792255496192,398,203
1991-02-17 10:21:08.205871104,666786068205871104,793,506
1991-02-17 15:26:04.988780544,666804364988780544,246,94
1991-02-17 19:10:36.334096384,666817836334096384,534,260
1991-02-17 21:39:40.179869698,666826780179869696,262,101
1991-02-17 23:56:47.768551424,666835007768551424,220,82
1991-02-18 00:30:28.449972224,666837028449972224,843,572
1991-02-19 17:19:07.667116034,666983947667116032,2641,1028
1991-02-19 20:42:12.027977728,666996132027977728,252,100
1991-02-20 01:16:41.033924608,667012601033924608,463,235
1991-02-20 10:01:34.246576128,667044094246576128,195,52
1991-02-20 15:03:01.243039745,667062181243039744,223,56
1991-02-20 15:58:55.570550784,667065535570550784,171,49
1991-02-20 17:21:22.143944705,667070482143944704,86,14
1991-02-20 18:14:08.344346624,667073648344346624,419,130
1991-02-20 23:01:33.657276420,667090893657276416,342,130
1991-02-21 07:03:16.878725120,667119796878725120,342,133
1991-02-21 12:11:09.671505920,667138269671505920,4768,2340
1991-02-21 16:02:44.079423490,667152164079423488,49104,17956
1991-02-21 18:17:53.090932737,667160273090932736,264,65
1991-02-21 19:46:30.075940865,667165590075940864,2777,1210
1991-02-21 21:21:00.800061440,667171260800061440,229,95
1991-02-21 22:22:43.120574464,667174963120574464,257,86
1991-02-21 22:42:44.155375616,667176164155375616,632,481
1991-02-21 23:13:09.038297088,667177989038297088,196,57
1991-02-22 00:33:12.070062081,667182792070062080,14883,6521
1991-02-22 02:11:29.915760640,667188689915760640,771,440
1991-02-22 03:07:46.997374976,667192066997374976,405,114
1991-02-22 05:28:45.029539841,667200525029539840,643,276
1991-02-22 08:37:35.547486208,667211855547486208,511,254
1991-02-24 04:20:27.918143488,667369227918143488,380,170
1991-02-24 11:03:50.834667520,667393430834667520,203,59
1991-02-24 14:22:19.315146752,667405339315146752,482,229
1991-02-24 22:48:09.202614272,667435689202614272,319,87
