,tweet_id,Names,dog_gender,timestamp,date,time,source,text,jpg_url,img_num,favorite_count,retweet_count,dog_count,rating,dog_stage,Breed,Confidence_level,Weekday
1991,873580283840344065,Dogwithnoname,Unknown,2017-06-10 16:39:04,2017-06-10 00:00:00,16:39,Twitter for iPhone,"We usually don't rate Deck-bound Saskatoon Black Bears, but this one is h*ckin flawless. Sneaky tongue slip too. 13/10 would hug firmly https://t.co/mNuMH9400n",https://pbs.twimg.com/media/DB-UotKXkAEHXVi.jpg,1,0,0,1.0,13.0,None,Newfoundland,0.678537,Saturday
1988,872820683541237760,Dogwithnoname,Unknown,2017-06-08 14:20:41,2017-06-08 00:00:00,14:20,Twitter for iPhone,"Here are my favorite #dogsatpollingstations 
Most voted for a more consistent walking schedule and to increase daily pats tenfold. All 13/10 https://t.co/17FVMl4VZ5",https://pbs.twimg.com/media/DBzhx0PWAAEhl0E.jpg,3,14877,3810,1.0,13.0,None,pug,0.99912,Thursday
1987,872620804844003328,Monkey,Female,2017-06-08 01:06:27,2017-06-08 00:00:00,01:06,Twitter for iPhone,This is Monkey. She's supporting owners everywhere with her fancy #PrideMonth bandana. 13/10 love is love is love... https://t.co/lUcpnZDPz9,https://pbs.twimg.com/media/DBwr_hzXkAEnZBW.jpg,1,21061,3827,1.0,13.0,None,cocker_spaniel,0.513191,Thursday
1986,872486979161796608,Dogwithnoname,Unknown,2017-06-07 16:14:40,2017-06-07 00:00:00,16:14,Twitter for iPhone,We. Only. Rate. Dogs. Do not send in other things like this fluffy floor shark clearly ready to attack. Get it together guys... 12/10 https://t.co/BZHiKx3FpQ,https://pbs.twimg.com/media/DBuyRlTUwAAYhG9.jpg,1,41113,9255,1.0,12.0,None,Pembroke,0.931861,Wednesday
1985,872261713294495745,Harry,Male,2017-06-07 01:19:32,2017-06-07 00:00:00,01:19,Twitter for iPhone,This is Harry. His ears are activated one at a time. Incredibly rare to witness in person. Very special moment here. 13/10 blessed as h*ck https://t.co/ejHvGDfWoa,https://pbs.twimg.com/media/DBrlZk2UQAAfAkd.jpg,2,0,0,1.0,13.0,None,Labrador_retriever,0.972019,Wednesday
1984,872122724285648897,Kody,Male,2017-06-06 16:07:15,2017-06-06 00:00:00,16:07,Twitter for iPhone,This is Kody. He's a baller. Wishes he was a little bit taller. Double dribbles often. Still 12/10 would happily get dunked on https://t.co/PKSpmiefwN,https://pbs.twimg.com/media/DBpm-5UXcAUeCru.jpg,1,0,0,1.0,12.0,None,pug,0.0667363,Tuesday
1983,871879754684805121,Lassie,Female,2017-06-06 00:01:46,2017-06-06 00:00:00,00:01,Twitter for iPhone,Say hello to Lassie. She's celebrating #PrideMonth by being a splendid mix of astute and adorable. Proudly supupporting her owner. 13/10 https://t.co/uK6PNyeh9w,https://pbs.twimg.com/media/DBmKAmBXUAE-pQ-.jpg,1,0,0,1.0,13.0,None,Shetland_sheepdog,0.969171,Tuesday
1980,871032628920680449,Boomer,Male,2017-06-03 15:55:36,2017-06-03 00:00:00,15:55,Twitter for iPhone,"This is Boomer. He's doing an advanced water takeoff. The opposite of Sully. Ears for control, mlem for style. 13/10 simply breathtaking https://t.co/noNpY2Laoo",https://pbs.twimg.com/media/DBaHi3YXgAE6knM.jpg,1,0,0,1.0,13.0,None,kelpie,0.398053,Saturday
1979,870804317367881728,Dogwithnoname,Unknown,2017-06-03 00:48:22,2017-06-03 00:00:00,00:48,Twitter for iPhone,Real funny guys. Sending in a pic without a dog in it. Hilarious. We'll rate the rug tho because it's giving off a very good vibe. 11/10 https://t.co/GCD1JccCyi,https://pbs.twimg.com/media/DBW35ZsVoAEWZUU.jpg,1,34164,6443,1.0,11.0,None,NaN,0.0,Saturday
1978,870656317836468226,Cody,Male,2017-06-02 15:00:16,2017-06-02 00:00:00,15:00,Twitter for iPhone,"This is Cody. He zoomed too aggressively and tore his ACL. Happens to the best of us. Still 13/10

Help Cody here: https://t.co/4hxnDOt1CV https://t.co/42ryYRQ2Q4",https://pbs.twimg.com/media/DBUxSSTXsAA-Jn1.jpg,4,0,0,1.0,13.0,None,Pembroke,0.945495,Friday
1977,870374049280663552,Zoey,Female,2017-06-01 20:18:38,2017-06-01 00:00:00,20:18,Twitter for iPhone,This is Zoey. She really likes the planet. Would hate to see willful ignorance and the denial of fairly elemental science destroy it. 13/10 https://t.co/T1xlgaPujm,https://pbs.twimg.com/media/DBQwlFCXkAACSkI.jpg,1,84011,27163,1.0,13.0,None,golden_retriever,0.841001,Thursday
1992,873697596434513921,Dogwithnoname,Male,2017-06-11 00:25:14,2017-06-11 00:00:00,00:25,Twitter for iPhone,RT @dog_rates: This is Walter. He won't start hydrotherapy without his favorite floatie. 14/10 keep it pup Walter https://t.co/r28jFx9uyF,https://pbs.twimg.com/media/DA7iHL5U0AA1OQo.jpg,1,0,0,1.0,14.0,None,French_bulldog,0.0999839,Sunday
1976,870308999962521604,Rumble,Male,2017-06-01 16:00:09,2017-06-01 00:00:00,16:00,Twitter for iPhone,"This is Rumble, but he's not ready to. Would rather fall asleep in his bath bucket. 13/10 would attempt a boop without waking https://t.co/MVQCzrF1g9",https://pbs.twimg.com/media/DBP1asiUAAEKZI5.jpg,2,0,0,1.0,13.0,None,Greater_Swiss_Mountain_dog,0.622752,Thursday
1974,869772420881756160,Dewey,Male,2017-05-31 04:27:59,2017-05-31 00:00:00,04:27,Twitter for iPhone,"This is Dewey (pronounced ""covfefe""). He's having a good walk. Arguably the best walk. 13/10 would snug softly https://t.co/HciEaJkC4D",https://pbs.twimg.com/media/DBINZcxXgAQ-R6P.jpg,1,43160,10446,1.0,13.0,None,Pembroke,0.980148,Wednesday
