Year,Carrier,DepDelay,ArrDelay,TotalDelay
1987,AA,5.824425462,4.91467262,10.73909808
1987,AS,8.214370181,12.43030131,20.64467149
1987,CO,12.443648,11.17253163,23.61617963
1987,DL,7.332854132,11.92380159,19.25665572
1987,EA,8.470463416,9.150126937,17.62059035
1987,HP,6.140260378,9.538308658,15.67856904
1987,NW,6.827586532,10.71690483,17.54449137
1987,PA (1),4.871985494,7.423813841,12.29579934
1987,PI,7.704925723,9.377716966,17.08264269
1987,PS,13.15636667,17.23985557,30.39622224
1987,TW,7.008493348,8.22035763,15.22885098
1987,UA,8.221970486,8.782627987,17.00459847
1987,US,7.334582903,9.561507577,16.89609048
1987,WN,8.464397496,6.18803795,14.65243545
1988,AA,5.588911878,4.223336053,9.812247931
1988,AS,5.682770343,7.775689153,13.4584595
1988,CO,8.362537362,5.691565666,14.05410303
1988,DL,5.052476103,6.155979982,11.20845609
1988,EA,8.36869884,7.628438313,15.99713715
1988,HP,4.198740997,4.076569857,8.275310855
1988,NW,5.880866102,7.809868924,13.69073503
1988,PA (1),6.09306382,8.649983824,14.74304764
1988,PI,7.456652493,8.685993371,16.14264586
1988,PS,4.581034607,1.450638513,6.03167312
1988,TW,7.008583849,7.93459313,14.94317698
1988,UA,7.437319082,7.319956459,14.75727554
1988,US,7.317839782,8.107849275,15.42568906
1988,WN,5.984275536,3.258554944,9.24283048
1989,AA,6.954342602,6.177227015,13.13156962
1989,AS,5.723758104,7.452595653,13.17635376
1989,CO,7.151174476,5.548326004,12.69950048
1989,DL,6.53409218,8.43665621,14.97074839
1989,EA,7.778987426,5.96464593,13.74363336
1989,HP,5.518707378,5.92844634,11.44715372
1989,NW,5.542063187,6.036041011,11.5781042
1989,PA (1),7.697559726,9.56207007,17.2596298
1989,PI,11.97400543,13.84287969,25.81688512
1989,TW,7.241545078,7.576840729,14.81838581
1989,UA,10.66160367,11.22762015,21.88922382
1989,US,10.63131275,11.54345761,22.17477036
1989,WN,8.317820817,6.768783259,15.08660408
1990,AA,6.464086408,6.492169987,12.9562564
1990,AS,5.325329796,7.052290697,12.37762049
1990,CO,7.019529904,7.832387329,14.85191723
1990,DL,7.491395419,9.437392695,16.92878811
1990,EA,8.486058913,6.118439696,14.60449861
1990,HP,6.367415987,5.721746475,12.08916246
1990,NW,4.887683666,3.82924429,8.716927957
1990,PA (1),4.495078452,1.975867362,6.470945814
1990,TW,7.130317101,7.467288856,14.59760596
1990,UA,7.670381907,7.449002297,15.1193842
1990,US,6.069284174,5.995538661,12.06482284
1990,WN,8.718130117,6.917223924,15.63535404
1991,AA,4.571932918,3.870435516,8.442368434
1991,AS,4.166422415,4.29789807,8.464320485
1991,CO,6.031925033,4.544000267,10.5759253
1991,DL,6.94319091,6.724781938,13.66797285
1991,HP,6.969707851,4.934844258,11.90455211
1991,ML (1),6.192479637,4.747609196,10.94008883
1991,NW,3.066402261,1.728450599,4.794852861
