,tweet_id,Names,dog_gender,date,time,source,text,jpg_url,img_num,favorite_count,retweet_count,rating_numerator,rating_denominator,dog_stage,Breed,Confidence_level
2037,8.84563E+17,Kevin,Male,7/11/2017,0:00,Twitter for iPhone,This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,1,24574,5045,13,10,None,pug,0.546406
2034,8.83838E+17,Noah,Male,7/9/2017,0:00,Twitter for iPhone,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy https://t.co/V85xujjDDY,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,1,0,0,12,10,None,Doberman,0.610946
4001,8.57746E+17,Thor,Male,4/28/2017,0:00,Twitter for iPhone,Meet Thor. He doesn't have finals because he's a dog but is pupset you have finals. Just wants to play. 13/10 would abandon education for https://t.co/7IFn3rkJai,https://pbs.twimg.com/media/C-dTzBzXUAQRjYz.jpg,1,35678,11348,13,10,None,Labrador_retriever,0.919832
3935,8.42164E+17,George,Male,3/16/2017,0:00,Twitter for iPhone,Meet George. He looks slightly deflated but overall quite powerful. Not sure how that human restrained him. 12/10 would snug with permission https://t.co/o6E0hB3xZl,https://pbs.twimg.com/media/C6_3QgMWsAMNnAk.jpg,2,26332,6464,12,10,None,French_bulldog,0.891227
3751,8.13172E+17,Eleanor,Female,12/26/2016,0:00,Twitter for iPhone,This is Eleanor. She winks like she knows many things that you don't. 12/10 https://t.co/bxGwkJa2kE,https://pbs.twimg.com/media/C0j4EESUsAABtMq.jpg,1,0,0,12,10,None,golden_retriever,0.0261931
3633,7.93241E+17,Tucker,Male,11/1/2016,0:00,Twitter for iPhone,This is Tucker. He's out here bustin h*ckin ghosts. 13/10 dedicated af https://t.co/Ap477GhwXt,https://pbs.twimg.com/media/CwIougTWcAAMLyq.jpg,1,11664,3758,13,10,None,golden_retriever,0.559308
3537,7.78383E+17,Nala,Female,9/21/2016,0:00,Twitter for iPhone,This is Nala. She's a future Dogue model. Won't respond to my texts. 13/10 would be an honor to pet https://t.co/zP1IvAATWv,https://pbs.twimg.com/media/Cs1fjyqWIAE2jop.jpg,1,6459,1257,13,10,None,collie,0.345266
3354,7.50117E+17,Calvin,Male,7/5/2016,0:00,Twitter for iPhone,This is Calvin. He just loves America so much. 10/10 would roll around in flag with https://t.co/RXdzWaCQHm,https://pbs.twimg.com/media/Cmjzc-oWEAESFCm.jpg,2,4702,1449,10,10,None,Shih-Tzu,0.814405
4765,6.80176E+17,Dogwithnoname,Unknown,12/25/2015,0:00,Twitter for iPhone,This pupper is patiently waiting to scare the shit out of Santa. 10/10 https://t.co/NhXo67K6yt,https://pbs.twimg.com/media/CXB4nWnWEAAhLTX.jpg,1,4221,1744,10,10,pupper,NaN,0
2039,8.84926E+17,Earl,Male,7/12/2017,0:01,Twitter for iPhone,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa",https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,1,0,0,12,10,None,Italian_greyhound,0.259916
1983,8.7188E+17,Lassie,Female,6/6/2017,0:01,Twitter for iPhone,Say hello to Lassie. She's celebrating #PrideMonth by being a splendid mix of astute and adorable. Proudly supupporting her owner. 13/10 https://t.co/uK6PNyeh9w,https://pbs.twimg.com/media/DBmKAmBXUAE-pQ-.jpg,1,0,0,13,10,None,Shetland_sheepdog,0.969171
4021,8.62458E+17,Jersey,Male,5/11/2017,0:01,Twitter for iPhone,"This is Jersey. He likes to watch movies, but only if you watch with him. Enjoys horror films like The Bababork and H*ckraiser. 13/10 https://t.co/jvSNASweNb",https://pbs.twimg.com/media/C_gQmaTUMAAPYSS.jpg,1,21267,5287,13,10,None,NaN,0
3955,8.46875E+17,Tuck,Male,3/29/2017,0:01,Twitter for iPhone,"This is Tuck. As you can see, he's rather h*ckin rare. Taken seriously until his legs are seen. Tail stuck in a permanent zoom. 13/10 https://t.co/P7PBGqrKSe",https://pbs.twimg.com/media/C8C0JYHW0AAy-7u.jpg,2,0,0,13,10,None,Shetland_sheepdog,0.450539
3259,7.38883E+17,Dogwithnoname,Unknown,6/4/2016,0:01,Twitter for iPhone,When a single soap orb changes your entire perception of the universe... 10/10 https://t.co/9eCXpVExJc,https://pbs.twimg.com/media/CkEKe3QWYAAwoDy.jpg,2,3625,906,10,10,None,Labrador_retriever,0.691137
3215,7.29824E+17,Stefan,Male,5/10/2016,0:01,Twitter for iPhone,This is Stefan. He's a downright remarkable pup. 13/10 https://t.co/Ebjt6Y4fMh,https://pbs.twimg.com/media/CiDap8fWEAAC4iW.jpg,1,4312,1376,13,10,None,kelpie,0.218408
1989,8.72967E+17,Dogwithnoname,Male,6/9/2017,0:02,Twitter for iPhone,Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad. 12/10 good to go doggo https://t.co/EMYIdoblMR,https://pbs.twimg.com/media/DB1m871XUAAw5vZ.jpg,2,27776,5594,12,10,doggo,Labrador_retriever,0.476913
1953,8.63907E+17,Albus,Male,5/15/2017,0:02,Twitter for iPhone,This is Albus. He's quite impressive at hide and seek. Knows he's been found this time. 13/10 usually elusive as h*ck https://t.co/ht47njyZ64,https://pbs.twimg.com/media/C_03NPeUQAAgrMl.jpg,1,0,0,13,10,None,NaN,0
4004,8.58472E+17,Sophie,Female,4/30/2017,0:02,Twitter for iPhone,This is Sophie. She just arrived. Used pawority shipping. Speedy as h*ck delivery. 13/10 would carefully assemble https://t.co/8jOC4zhNxy,https://pbs.twimg.com/media/C-nnZBdXkAAB-wg.jpg,1,22392,5189,13,10,None,Pembroke,0.987407
3929,8.41077E+17,Dawn,Female,3/13/2017,0:02,Twitter for iPhone,This is Dawn. She's just checking pup on you. Making sure you're doing okay. 12/10 she's here if you need her https://t.co/XKJrmO4fAQ,https://pbs.twimg.com/media/C6wbE5bXUAAh1Hv.jpg,1,24671,5911,12,10,None,Brittany_spaniel,0.962985
3987,8.53761E+17,Alice,Female,4/17/2017,0:03,Twitter for iPhone,Say hello to Alice. I'm told she enjoys car rides and smells good. 12/10 would give her everything she could ever want https://t.co/yT4vw8y77x,https://pbs.twimg.com/media/C9kq_bbVwAAuRZd.jpg,1,0,0,12,10,None,miniature_pinscher,0.292519
3981,8.52311E+17,Wiggles,Female,4/13/2017,0:03,Twitter for iPhone,This is Wiggles. She would like you to spot her. Probably won't need your help but just in case. 13/10 powerful as h*ck https://t.co/2d370P0OEg,https://pbs.twimg.com/media/C9QEqZ7XYAIR7fS.jpg,1,0,0,13,10,None,NaN,0
3964,8.48325E+17,Odin,Male,4/2/2017,0:03,Twitter for iPhone,Meet Odin. He's supposed to be giving directions but he'd rather look at u like that. Should probably buckle pup. 12/10 distracting as h*ck https://t.co/1pSqUbLQ5Z,https://pbs.twimg.com/media/C8XbDR1WAAAxND8.jpg,1,26387,5074,12,10,None,malamute,0.544576
3658,7.96866E+17,Tyr,Male,11/11/2016,0:03,Twitter for iPhone,This is Tyr. He's just checking on you. Nifty af tongue slip. 12/10 would absolutely pet https://t.co/Jgnuiyvq06,https://pbs.twimg.com/media/Cw8JWZ2UsAAJOZ6.jpg,1,0,0,12,10,None,Cardigan,0.839129
2848,6.89599E+17,Dogwithnoname,Unknown,1/20/2016,0:03,Twitter for iPhone,Here we see 33 dogs posing for a picture. All get 11/10 for superb cooperation https://t.co/TRAri5iHzd,https://pbs.twimg.com/media/CZHyrvOXEAEin-A.jpg,1,12640,6172,11,10,None,cocker_spaniel,0.0731014
4007,8.59197E+17,Dogwithnoname,Unknown,5/2/2017,0:04,Twitter for iPhone,We only rate dogs. This is quite clearly a smol broken polar bear. We'd appreciate if you only send dogs. Thank you... 12/10 https://t.co/g2nSyGenG9,https://pbs.twimg.com/ext_tw_video_thumb/859196962498805762/pu/img/-yBpr4-o4GJZECYE.jpg,1,93678,32303,12,10,None,malamute,0.216163
3968,8.49412E+17,Noosh,Male,4/5/2017,0:04,Twitter for iPhone,This is Noosh. He noticed you were in the shower and thought you could use some company. 12/10 h*ckin loyal https://t.co/Uq3ChFgWA3,https://pbs.twimg.com/media/C8m3-iQVoAAETnF.jpg,4,16880,3438,12,10,None,schipperke,0.907559
3961,8.47963E+17,Georgie,Male,4/1/2017,0:04,Twitter for iPhone,This is Georgie. He's very shy. Only puppears when called. Aggressively average at fetch. Unique front paws. Looks slippery. 10/10 would pet https://t.co/rcDs5LkiSj,https://pbs.twimg.com/media/C8SRpHNUIAARB3j.jpg,1,25048,5663,10,10,None,NaN,0
3931,8.4144E+17,Dogwithnoname,Unknown,3/14/2017,0:04,Twitter for iPhone,Here we have some incredible doggos for #K9VeteransDay. All brave as h*ck. Salute your dog in solidarity. 14/10 for all https://t.co/SVNMdFqKDL,https://pbs.twimg.com/media/C61lFFiWoAAJdiL.jpg,3,0,0,14,10,None,Labrador_retriever,0.0481999
3924,8.3999E+17,Sojourner,Male,3/10/2017,0:04,Twitter for iPhone,Meet Sojourner. His nose is a Fibonacci Spiral. Legendary af. 13/10 we must protect him at all costs https://t.co/r7W1NbkOtr,https://pbs.twimg.com/media/C6g-sX-VsAAHfJ9.jpg,2,14485,2562,13,10,None,Staffordshire_bullterrier,0.604938
3491,7.71137E+17,Dixie,Female,9/1/2016,0:04,Twitter for iPhone,This is Dixie. She wants to be a ship captain. Won't let anything get in between her and her dreams. 11/10 https://t.co/8VEDZKHddR,https://pbs.twimg.com/media/CrOgsIBWYAA8Dtb.jpg,1,10115,3309,11,10,None,golden_retriever,0.297402
3363,7.51205E+17,Dogwithnoname,Female,7/8/2016,0:04,Twitter for iPhone,"""This photographer took pics of her best friend before and after she told them they were beautiful"" 12/10 https://t.co/510gJW9fsy",https://pbs.twimg.com/media/CmzRRY1WcAEoxwY.jpg,2,6883,2055,12,10,None,Labrador_retriever,0.947164
3308,7.46132E+17,Gustav,Male,6/24/2016,0:04,Twitter for iPhone,This is Gustav. He has claimed that plant. It is his now. 10/10 would not try to take his plant away https://t.co/uRI7HBgGJX,https://pbs.twimg.com/media/ClrK-rGWAAENcAa.jpg,1,7489,2467,10,10,None,chow,0.575637
3,6.66044E+17,Dogwithnoname,Male,11/16/2015,0:04,Twitter for iPhone,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1,305,143,6,10,None,Rhodesian_ridgeback,0.408143
3292,7.43595E+17,Harold,Male,6/17/2016,0:05,Twitter for iPhone,This is Harold. He looks slippery af. Probably difficult to hug. Would still try tho. 7/10 great with kids I bet https://t.co/EVuqdEO66N,https://pbs.twimg.com/media/ClHICHmXEAI_1PS.jpg,1,20052,7334,7,10,None,NaN,0
3023,7.0482E+17,Chesterson,Male,3/2/2016,0:05,Twitter for iPhone,This is Chesterson. He's a Bolivian Scoop Dog. Incredibly portable. Can't bark for shit tho. 7/10 would still pet https://t.co/EatAd8JhyW,https://pbs.twimg.com/media/CcgF5ovW8AACrEU.jpg,1,2864,1123,7,10,None,NaN,0
2004,8.77317E+17,Dante,Male,6/21/2017,0:06,Twitter for iPhone,"Meet Dante. At first he wasn't a fan of his new raincoat, then he saw his reflection. H*ckin handsome. 13/10 for water resistant good boy https://t.co/SHRTIo5pxc",https://pbs.twimg.com/media/DCza_vtXkAQXGpC.jpg,1,0,0,13,10,None,Saluki,0.509967
3974,8.51225E+17,Snoop,Male,4/10/2017,0:06,Twitter for iPhone,"Meet Snoop. His number one passion is sticking his head out of car windows, so he purchased some doggles. Stylish af. 13/10 happy travels https://t.co/iHYfZdz444",https://pbs.twimg.com/media/C9AohFoWsAUmxDs.jpg,3,0,0,13,10,None,standard_poodle,0.00568265
3547,7.79834E+17,Scout,Male,9/25/2016,0:06,Twitter for iPhone,This is Scout. He really wants to kiss himself. H*ckin inappropriate. 11/10 narcissistic af https://t.co/x0gV2Ck3AD,https://pbs.twimg.com/media/CtKHLuCWYAA2TTs.jpg,1,21022,8083,11,10,None,golden_retriever,0.99383
2330,6.70756E+17,Gin,Unknown,11/29/2015,0:06,Twitter for iPhone,Say hello to Gin &amp; Tonic. They're having a staring contest. Very very intense. 9/10 for both https://t.co/F6bI9dF16E,https://pbs.twimg.com/media/CU8AwZ_UsAA-Lbu.jpg,1,471,121,9,10,None,keeshond,0.994065
28,6.66407E+17,Dogwithnoname,Unknown,11/17/2015,0:06,Twitter for iPhone,This is a southern Vesuvius bumblegruff. Can drive a truck (wow). Made friends with 5 other nifty dogs (neat). 7/10 https://t.co/LopTBkKa8h,https://pbs.twimg.com/media/CT-NvwmW4AAugGZ.jpg,1,112,42,7,10,None,black-and-tan_coonhound,0.529139
2049,8.87101E+17,Dogwithnoname,Unknown,7/18/2017,0:07,Twitter for iPhone,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,1,30878,6104,12,10,None,Samoyed,0.733942
1879,8.46514E+17,Barney,Male,3/28/2017,0:07,Twitter for iPhone,This is Barney. He's an elder doggo. Hitches a ride when he gets tired. Waves goodbye before he leaves. 13/10 please come back soon https://t.co/cFAasDXauK,https://pbs.twimg.com/media/C79sB4xXwAEvwKY.jpg,2,0,0,13,10,doggo,golden_retriever,0.650003
3318,7.4722E+17,Atticus,Male,6/27/2016,0:07,Twitter for iPhone,This is Atticus. He's remaining calm but his costume looks terrified. 11/10 https://t.co/uT7QeZI34U,https://pbs.twimg.com/media/Cl6odlVWQAIy5uk.jpg,2,0,0,11,10,None,Shetland_sheepdog,0.548018
2586,6.76192E+17,Dogwithnoname,Unknown,12/14/2015,0:07,Twitter for iPhone,These two pups just met and have instantly bonded. Spectacular scene. Mesmerizing af. 10/10 and 7/10 for blue dog https://t.co/gwryaJO4tC,https://pbs.twimg.com/media/CWJQ4UmWoAIJ29t.jpg,2,0,0,10,10,None,Chihuahua,0.376741
4485,6.72205E+17,Opal,Male,12/3/2015,0:07,Twitter for iPhone,This is Opal. He's a Royal John Coctostan. Ready for transport. Basically indestructible. 9/10 good pupper https://t.co/yRBQF9OS7D,https://pbs.twimg.com/media/CVQnPMrVAAAzShR.jpg,1,2383,1251,9,10,pupper,pug,0.00326691
2069,8.91088E+17,Dogwithnoname,Unknown,7/29/2017,0:08,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,20442,3205,13,10,None,Chesapeake_Bay_retriever,0.425595
4020,8.62097E+17,Dogwithnoname,Unknown,5/10/2017,0:08,Twitter for iPhone,We only rate dogs. Please don't send perfectly toasted marshmallows attempting to drive. Thank you... 13/10 https://t.co/nvZyyrp0kd,https://pbs.twimg.com/media/C_bIo7QXYAAGfPu.jpg,2,77310,24766,13,10,None,chow,0.677589
5837,8.14986E+17,Cooper,Male,12/31/2016,0:08,Twitter for iPhone,This is Cooper. Someone attacked him with a sharpie. Poor pupper. 11/10 nifty tongue slip tho https://t.co/01vpuRDXQ8,https://pbs.twimg.com/media/C09p5dJWIAE5qKL.jpg,1,8403,1485,11,10,pupper,dalmatian,0.999828
3574,7.83821E+17,Mairi,Female,10/6/2016,0:08,Twitter for iPhone,This is Mairi. She has mastered the art of camouflage. 12/10 h*ckin sneaky af https://t.co/STcPjiNAHp,https://pbs.twimg.com/media/CuCxIzyWEAQTnQA.jpg,1,0,0,12,10,None,Lakeland_terrier,0.265659
3408,7.57729E+17,Dogwithnoname,Male,7/26/2016,0:08,Twitter for iPhone,RT @dog_rates: This is Chompsky. He lives up to his name. 11/10 https://t.co/Xl37lQEWd0,https://pbs.twimg.com/media/CWyD2HGUYAQ1Xa7.jpg,2,0,0,11,10,None,schipperke,0.0455186
3260,7.38885E+17,Charles,Male,6/4/2016,0:08,Twitter for iPhone,This is Charles. He's a Nova Scotian Towel Pouncer. Deadly af. Nifty tongue slip. 11/10 would pet with caution https://t.co/EfejX3iRGr,https://pbs.twimg.com/media/CkEMBz9WYAAGLaa.jpg,1,4081,1267,11,10,None,American_Staffordshire_terrier,0.0155351
3328,7.48307E+17,Dogwithnoname,Unknown,6/30/2016,0:09,Twitter for iPhone,"This sherk must've leapt out of the water and into the canoe, trapping the human. Won't even help paddle smh. 7/10 https://t.co/KubWEqOIgO",https://pbs.twimg.com/media/CmKFi-FXEAAeI37.jpg,2,0,0,7,10,None,NaN,0
